374_Male_Rep_2	SAMN09738252
375_Female_Rep_1	SAMN09738250
375_Female_Rep_2	SAMN09738249
375_Male_Rep_1	SAMN09738248
335_Female_Rep_2	SAMN09738247
336_Male_Rep_1	SAMN09738246
336_Male_Rep_2	SAMN09738245
338_Female_Rep_1	SAMN09738244
335_Male_Rep_1	SAMN09738243
335_Male_Rep_2	SAMN09738242
336_Female_Rep_1	SAMN09738241
391_Female_Rep_1	SAMN09738240
391_Female_Rep_2	SAMN09738239
391_Male_Rep_1	SAMN09738238
391_Male_Rep_2	SAMN09738237
392_Female_Rep_1	SAMN09738236
392_Female_Rep_2	SAMN09738235
392_Male_Rep_1	SAMN09738234
392_Male_Rep_2	SAMN09738233
395_Female_Rep_1	SAMN09738232
395_Female_Rep_2	SAMN09738231
395_Male_Rep_1	SAMN09738230
395_Male_Rep_2	SAMN09738229
397_Female_Rep_1	SAMN09738228
397_Female_Rep_2	SAMN09738227
397_Male_Rep_1	SAMN09738226
397_Male_Rep_2	SAMN09738225
399_Female_Rep_1	SAMN09738224
399_Female_Rep_2	SAMN09738222
399_Male_Rep_1	SAMN09738221
362_Female_Rep_2	SAMN09738220
362_Male_Rep_1	SAMN09738219
362_Male_Rep_2	SAMN09738218
365_Female_Rep_1	SAMN09738217
380_Male_Rep_2	SAMN09738216
381_Female_Rep_1	SAMN09738215
381_Female_Rep_2	SAMN09738214
381_Male_Rep_1	SAMN09738213
381_Male_Rep_2	SAMN09738212
382_Female_Rep_1	SAMN09738211
382_Female_Rep_2	SAMN09738210
382_Male_Rep_1	SAMN09738209
382_Male_Rep_2	SAMN09738208
383_Female_Rep_1	SAMN09738207
383_Female_Rep_2	SAMN09738206
383_Male_Rep_1	SAMN09738205
383_Male_Rep_2	SAMN09738204
385_Female_Rep_1	SAMN09738203
385_Female_Rep_2	SAMN09738202
386_Male_Rep_1	SAMN09738201
386_Male_Rep_2	SAMN09738200
390_Female_Rep_1	SAMN09738199
390_Female_Rep_2	SAMN09738198
385_Male_Rep_1	SAMN09738197
385_Male_Rep_2	SAMN09738196
386_Female_Rep_1	SAMN09738195
386_Female_Rep_2	SAMN09738194
390_Male_Rep_1	SAMN09738193
390_Male_Rep_2	SAMN09738192
42_Male_Rep_1	SAMN09738191
42_Male_Rep_2	SAMN09738190
426_Female_Rep_1	SAMN09738189
